major,stem_category
ACCT,Not STEM
ADEV,Not STEM
AERO,STEM
AGBU,Not STEM
AGCJ,Not STEM
AGEC,Not STEM
AGEN,STEM
AGJR,Not STEM
AGRO,STEM
AGSC,STEM
AGSM,STEM
ALED,Not STEM
AMST,Not STEM
ANSC,STEM
ANTH,STEM
APMS,STEM
BAEN,STEM
BESC,STEM
BHNR,Not STEM
BICH,STEM
BIMS,STEM
BIOL,STEM
BMCB,STEM
BMEN,STEM
BSEN,STEM
CDEV,Not STEM
CECN,STEM
CEEN,STEM
CHEM,STEM
CHEN,STEM
CLSS,Not STEM
COMM,STEM
COSC,Not STEM
CPSC,STEM
CVEN,STEM
DASC,STEM
DDHS,Not STEM
ECON,STEM
ECOR,STEM
EDAS,Not STEM
ELEN,STEM
ENDS,Not STEM
ENGL,Not STEM
ENGS,STEM
ENST,STEM
ENTC,STEM
ENTO,STEM
ESET,STEM
FINC,Not STEM
FIVS,STEM
FORS,STEM
FREN,Not STEM
FSTC,STEM
GENE,STEM
GEOG,STEM
GEOL,Not STEM
GEOP,STEM
GERM,Not STEM
GIST,STEM
HIST,Not STEM
HLTH,Not STEM
HORT,STEM
HRDV,Not STEM
IDIS,STEM
INEN,STEM
INFO,Not STEM
INST,Not STEM
INTS,Not STEM
ISNC,Not STEM
KINE,Not STEM
LAND,Not STEM
MARA,STEM
MARB,STEM
MARF,STEM
MARR,STEM
MART,STEM
MASE,STEM
MAST,STEM
MATH,STEM
MBIO,STEM
MEEN,STEM
METR,STEM
MGMT,Not STEM
MISY,Not STEM
MKTG,Not STEM
MODL,Not STEM
MUSC,Not STEM
NUEN,STEM
NURS,Not STEM
NUSC,STEM
NUTR,STEM
OCEN,STEM
OCRE,STEM
OCSE,STEM
PETE,STEM
PHIL,Not STEM
PHYS,STEM
POLS,STEM
POSC,STEM
PSSC,STEM
PSYC,STEM
RENR,STEM
RHEN,STEM
RLEM,STEM
RPTS,Not STEM
RUSS,Not STEM
SCMT,Not STEM
SCOM,Not STEM
SOCI,STEM
SPAN,Not STEM
SPMT,Not STEM
SPSA,STEM
SPSG,STEM
TCMG,STEM
TCMS,Not STEM
TGSC,STEM
THAR,Not STEM
URPN,STEM
URSC,STEM
USAL,STEM
USAR,Not STEM
USBU,Not STEM
USEH,Not STEM
USEN,STEM
USGE,STEM
USLA,Not STEM
USSC,STEM
USVM,STEM
VIST,STEM
VTSC,Not STEM
WFSC,STEM
WGST,Not STEM
ZOOL,STEM
AERL,STEM
AGBL,Not STEM
AGLS,STEM
ANBR,STEM
BMEL,STEM
BUAD,Not STEM
BUAG,Not STEM
BUSH,Not STEM
CAIA,Not STEM
CECL,STEM
CEEL,STEM
CHEL,STEM
COSL,Not STEM
CPSL,STEM
CVEL,STEM
EDAL,Not STEM
EDHL,Not STEM
EDIS,Not STEM
EDKI,Not STEM
EDSM,Not STEM
ELEL,STEM
ENDL,Not STEM
ENGE,STEM
ENTL,STEM
FINM,Not STEM
FIVL,STEM
GEST,Not STEM
HRDL,Not STEM
IDIL,STEM
INEL,STEM
INTA,Not STEM
JOUR,Not STEM
LANL,Not STEM
MEEL,STEM
MMET,STEM
NUEL,STEM
OCEL,STEM
OCNG,STEM
OCST,STEM
PETL,STEM
PHEO,Not STEM
PREN,STEM
PSAA,Not STEM
RHEL,STEM
TCML,STEM
TEAM,Not STEM
VISL,STEM
VTMD,STEM
